sweep,value,policy,episode,task_success_rate,deadline_miss_rate,mean_cft_est,risk_penalty_mean,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,trust_failure_rate,rho_selected_mean,uncertainty_selected_mean,illegal_action_rate,time_limit_rate
main,0.0,mappo,1,0.9863811034870447,0.042934308193399676,2.764108908589588,0.008341678938179638,0.10239099455961345,0.859326111339523,0.038282894100863524,0.616163080607231,0.05304102146652879,0.9108970090513269,0.08296070188191616,0.0,0.0
main,0.0,mappo,2,0.8834459065016018,0.14167373269666766,2.57705413722557,0.008382679203191367,0.07656977552801877,0.8595873737293913,0.06384285074259004,0.5892496971108242,0.06283810976411527,0.9182685812570184,0.08243410617632425,0.0,0.07324470353626955
main,0.0,mappo,3,0.8710070602860205,0.14368761287306442,2.859302217284594,0.005974859397452186,0.12130314638965095,0.8130923131655178,0.06560454044483106,0.5700918165857009,0.05443586489031042,0.9231491384114824,0.08181533953749556,0.0,0.022985021839177777
main,0.0,mappo,4,0.8995919839659731,0.09160945895038237,2.8209046969232823,0.005313936190209968,0.12464082261889715,0.7660479776686823,0.10931119971242065,0.5898209329892211,0.07535171485578178,0.9213523311175535,0.07824505967498066,0.0,0.024467379949856392
main,0.0,mappo,5,0.8925400565538409,0.11210333441311232,2.7057606459577945,0.00719385889557816,0.07279506834838215,0.8571989978395393,0.07000593381207862,0.5717401037588357,0.04613725495572361,0.9232253580382366,0.08392997739257624,0.0,0.04436541805474592
main,0.0,mappo,6,0.8725125547127399,0.14612565436134767,2.8087467356648523,0.00797778539604351,0.1336368260710627,0.7824059535064136,0.08395722042252363,0.48679945493109966,0.07933187145717722,0.9207834140882507,0.06853299982806019,0.0,0.029719067636139115
main,0.0,mappo,7,0.9159207327663682,0.103007374473507,2.7979298701446127,0.006141487238379089,0.11767208717276294,0.8086726318683662,0.07365528095887079,0.5197996374839942,0.049436675397348244,0.9222879700921717,0.07073416282455598,0.0,0.015233750313143161
main,0.0,mappo,8,0.8387220174805096,0.17544628462663303,2.8509741558631276,0.00883814589726678,0.07850402924055119,0.8405420753030374,0.08095389545641139,0.5309128734393114,0.04591639383503997,0.9290400231811652,0.07979760547634036,0.0,0.044631635979770164
main,0.0,mappo,9,0.9162079257877902,0.07424508714568935,2.771986167180348,0.008597238816381199,0.10313777693101893,0.7650183834620433,0.1318438396069378,0.5372376988704806,0.06977330584955405,0.9190384310042238,0.08921411257412232,0.0,0.02570574814072043
main,0.0,mappo,10,0.9294999016684313,0.08263304043459725,2.6569242739230767,0.0061310788789290666,0.07842430918056183,0.8525631264635527,0.06901256435588538,0.4959184374239839,0.05159851834545246,0.9098847288507412,0.08168974705540559,0.0,0.021207110382574838
main,0.0,mappo,11,0.9261430196967738,0.08489627475431052,2.885253203752698,0.00686415794207745,0.1498471427923442,0.754136942603827,0.0960159146038287,0.49986932980547605,0.0683880436505972,0.9269475302836625,0.08237735762976015,0.0,0.007159175812822247
main,0.0,mappo,12,0.9008127745808591,0.1140050666960422,2.613121051577682,0.005777114343981649,0.09084810276989749,0.8085434745796114,0.1006084226504911,0.5281884611763208,0.05079197989200115,0.9197707635113519,0.07959813561448255,0.0,0.013491174728194518
main,0.0,mappo,13,0.9048254506675967,0.106384864068087,2.814959921839985,0.005328501253250878,0.1766067432781326,0.7321802677881825,0.09121298893368486,0.5842865262664368,0.06207501969688998,0.9116108206785266,0.07680743438263667,0.0,0.03306464337679793
main,0.0,mappo,14,0.9355972029451556,0.033870529552823984,2.665295431410684,0.008141462495269928,0.1308087283745522,0.823985227977947,0.04520604364750065,0.5606151932671347,0.036141729613866844,0.9244062938039301,0.08126926384594273,0.0,0.023802357214849898
main,0.0,mappo,15,0.9496949130932782,0.09026947994371122,2.7707526940628346,0.005674980167575583,0.10223867123782894,0.8293012808975612,0.06846004786461005,0.5845362050288656,0.05683224084610645,0.913437297360699,0.08977807590698401,0.0,0.000229658589726206
main,0.0,mappo,16,0.9382928778092591,0.04253761454042997,2.5924223846055776,0.006375918088680997,0.05905623749234194,0.9040465072916357,0.036897255216022266,0.6083729199325049,0.04244800839891895,0.9129690929142512,0.0748672793580606,0.0,0.00924871639466151
main,0.0,mappo,17,0.8944339035519592,0.073885149652659,2.7576860268096075,0.009015870844076655,0.08167411844656654,0.8752103855958419,0.0431154959575917,0.5808226227250297,0.0377798575903089,0.9086620419489119,0.08296877526572066,0.0,0.03867426668335591
main,0.0,mappo,18,0.9155700302307638,0.05112338747939479,2.641919032370726,0.009645149404758035,0.05195036718547711,0.9057394176855145,0.04231021512900837,0.5287569759421845,0.046520949228390396,0.9142660958081298,0.09128796235433925,0.0,0.009892777797445997
main,0.0,mappo,19,0.9589694115862508,0.05168598528313786,2.7535738508404894,0.006515439621334984,0.05598622013388638,0.770355273822933,0.1736585060431806,0.5218250597188471,0.05247069967260769,0.9193063698494089,0.06965995932358661,0.0,0.0
main,0.0,mappo,20,0.8961500344289647,0.08292433100143794,2.5010678961999933,0.00607735853419035,0.06858555756472721,0.8654052786022064,0.06600916383306629,0.5003817970404533,0.07188780353074219,0.9310701688348002,0.09314183564688931,0.0,0.022148401052089362
