num_vehicles,algorithm,mean_cft,success_rate
10,F-MAPPO,1.8063112699481803,0.83
10,IPPO,1.852036030519704,0.9279999999999998
10,LO,1.722762425360237,0.836
10,MAPPO,1.1768886950442254,0.934
10,NRO,1.7457179963380918,0.932
20,F-MAPPO,1.6918310945240436,0.9179999999999999
20,IPPO,1.7705893305628142,0.9209999999999999
20,LO,1.9336675116537574,0.853
20,MAPPO,1.4693231209023594,0.9259999999999999
20,NRO,1.8848457053979704,0.861
30,F-MAPPO,1.796648882616761,0.86
30,IPPO,1.782,0.8413333333333333
30,LO,2.090362449572761,0.7873333333333333
30,MAPPO,1.713,0.9580000000000001
30,NRO,1.9660219582512812,0.833
